x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
508238.5462	5899992.1289	0.0000	LineP1	0	85	0
508238.8505	5899990.9114	0.0000	LineP1	0	85	0
508239.3288	5899989.7374	0.0000	LineP1	0	85	0
508240.0245	5899988.9547	0.0000	LineP1	0	85	0
508240.0245	5899988.9112	0.0000	LineP1	0	85	0
508240.4159	5899987.8242	0.0000	LineP1	0	85	0
508240.3289	5899986.4762	0.0000	LineP1	0	85	0
508240.1115	5899984.4326	0.0000	LineP1	0	85	0
508240.0245	5899982.3454	0.0000	LineP1	0	85	0
508240.0245	5899982.3019	0.0000	LineP1	0	85	0
508240.0680	5899982.3019	0.0000	LineP1	0	85	0
508240.0680	5899982.2585	0.0000	LineP1	0	85	0
508240.1115	5899982.2150	0.0000	LineP1	0	85	0
508240.3724	5899980.6061	0.0000	LineP1	0	85	0
508239.8941	5899978.8234	0.0000	LineP1	0	85	0
508239.8941	5899978.7799	0.0000	LineP1	0	85	0
508239.8941	5899978.7364	0.0000	LineP1	0	85	0
508239.8071	5899976.2579	0.0000	LineP1	0	85	0
508239.8071	5899976.1275	0.0000	LineP1	0	85	0
508239.3723	5899974.6056	0.0000	LineP1	0	85	0
508239.0679	5899973.7795	0.0000	LineP1	0	85	0
508237.0243	5899972.4315	0.0000	LineP1	0	85	0
508235.0241	5899971.9097	0.0000	LineP1	0	85	0
508233.1544	5899970.6922	0.0000	LineP1	0	85	0
508232.7630	5899969.1704	0.0000	LineP1	0	85	0
508232.4587	5899967.2137	0.0000	LineP1	0	85	0
508231.8064	5899965.5613	0.0000	LineP1	0	85	0
508231.0672	5899963.6916	0.0000	LineP1	0	85	0
508229.8497	5899961.9523	0.0000	LineP1	0	85	0
508228.7192	5899960.6044	0.0000	LineP1	0	85	0
508227.1539	5899958.9086	0.0000	LineP1	0	85	0
508225.5015	5899957.6041	0.0000	LineP1	0	85	0
508222.3708	5899955.5170	0.0000	LineP1	0	85	0
508222.7622	5899954.9517	0.0000	LineP1	0	85	0
508223.2840	5899953.8647	0.0000	LineP1	0	85	0
508223.3274	5899952.3863	0.0000	LineP1	0	85	0
508222.9361	5899951.3427	0.0000	LineP1	0	85	0
508222.9796	5899951.2992	0.0000	LineP1	0	85	0
508222.9796	5899951.2558	0.0000	LineP1	0	85	0
508223.4579	5899950.6035	0.0000	LineP1	0	85	0
508223.5014	5899950.6035	0.0000	LineP1	0	85	0
508223.5448	5899950.5166	0.0000	LineP1	0	85	0
508224.5884	5899949.8643	0.0000	LineP1	0	85	0
508225.5885	5899948.4729	0.0000	LineP1	0	85	0
508225.6320	5899947.6902	0.0000	LineP1	0	85	0
508225.6320	5899947.6467	0.0000	LineP1	0	85	0
508225.4146	5899946.1249	0.0000	LineP1	0	85	0
508225.4146	5899945.9509	0.0000	LineP1	0	85	0
508225.4146	5899945.9075	0.0000	LineP1	0	85	0
508225.4146	5899944.7769	0.0000	LineP1	0	85	0
508225.4146	5899944.6465	0.0000	LineP1	0	85	0
508225.4146	5899944.6030	0.0000	LineP1	0	85	0
508224.7189	5899943.2116	0.0000	LineP1	0	85	0
508224.5015	5899941.8636	0.0000	LineP1	0	85	0
508223.7188	5899940.5592	0.0000	LineP1	0	85	0
508222.9361	5899939.2547	0.0000	LineP1	0	85	0
508223.0231	5899938.0372	0.0000	LineP1	0	85	0
508223.1535	5899936.4284	0.0000	LineP1	0	85	0
508223.1535	5899936.3849	0.0000	LineP1	0	85	0
508223.1970	5899934.9500	0.0000	LineP1	0	85	0
508223.1970	5899934.9065	0.0000	LineP1	0	85	0
508222.8926	5899933.6455	0.0000	LineP1	0	85	0
508222.1969	5899932.2976	0.0000	LineP1	0	85	0
508222.1534	5899932.2976	0.0000	LineP1	0	85	0
508220.4141	5899932.2106	0.0000	LineP1	0	85	0
508220.3707	5899932.2106	0.0000	LineP1	0	85	0
508220.3272	5899932.2106	0.0000	LineP1	0	85	0
508218.5009	5899932.4280	0.0000	LineP1	0	85	0
508216.4138	5899932.9933	0.0000	LineP1	0	85	0
508216.3703	5899932.9933	0.0000	LineP1	0	85	0
508215.0658	5899933.2542	0.0000	LineP1	0	85	0
508213.7179	5899934.2108	0.0000	LineP1	0	85	0
508213.6744	5899934.2543	0.0000	LineP1	0	85	0
508212.2830	5899935.7327	0.0000	LineP1	0	85	0
508211.1959	5899937.5154	0.0000	LineP1	0	85	0
508211.1525	5899937.5154	0.0000	LineP1	0	85	0
508211.0655	5899937.6024	0.0000	LineP1	0	85	0
508209.2827	5899940.2983	0.0000	LineP1	0	85	0
508208.4131	5899943.3420	0.0000	LineP1	0	85	0
508208.2392	5899945.1248	0.0000	LineP1	0	85	0
508208.7175	5899947.1250	0.0000	LineP1	0	85	0
508209.1088	5899948.2120	0.0000	LineP1	0	85	0
508209.1958	5899948.2120	0.0000	LineP1	0	85	0
508209.6741	5899950.0383	0.0000	LineP1	0	85	0
508210.4133	5899950.8209	0.0000	LineP1	0	85	0
508210.8916	5899951.9950	0.0000	LineP1	0	85	0
508211.3699	5899953.2124	0.0000	LineP1	0	85	0
508211.3699	5899953.2994	0.0000	LineP1	0	85	0
508211.3699	5899953.3864	0.0000	LineP1	0	85	0
508211.8917	5899954.9952	0.0000	LineP1	0	85	0
508212.6743	5899957.2128	0.0000	LineP1	0	85	0
508212.9352	5899958.9086	0.0000	LineP1	0	85	0
508213.0222	5899961.3871	0.0000	LineP1	0	85	0
508211.3699	5899962.9959	0.0000	LineP1	0	85	0
508210.3698	5899964.7787	0.0000	LineP1	0	85	0
508210.1089	5899966.3440	0.0000	LineP1	0	85	0
508210.0654	5899968.0833	0.0000	LineP1	0	85	0
508209.9785	5899968.9964	0.0000	LineP1	0	85	0
508209.9785	5899969.0399	0.0000	LineP1	0	85	0
508209.7176	5899969.1269	0.0000	LineP1	0	85	0
508208.9784	5899969.0399	0.0000	LineP1	0	85	0
508208.8914	5899968.9529	0.0000	LineP1	0	85	0
508207.9348	5899968.3442	0.0000	LineP1	0	85	0
508207.8913	5899968.3442	0.0000	LineP1	0	85	0
508207.7609	5899968.3442	0.0000	LineP1	0	85	0
508207.3695	5899969.0399	0.0000	LineP1	0	85	0
508207.3695	5899969.0834	0.0000	LineP1	0	85	0
508207.3695	5899969.1704	0.0000	LineP1	0	85	0
508208.1087	5899970.6487	0.0000	LineP1	0	85	0
508208.1087	5899970.7792	0.0000	LineP1	0	85	0
508208.6305	5899972.3880	0.0000	LineP1	0	85	0
508208.6305	5899972.4315	0.0000	LineP1	0	85	0
508208.6305	5899972.4750	0.0000	LineP1	0	85	0
508208.6305	5899973.6055	0.0000	LineP1	0	85	0
508208.6305	5899973.6925	0.0000	LineP1	0	85	0
508208.6305	5899973.8229	0.0000	LineP1	0	85	0
508208.8479	5899975.6927	0.0000	LineP1	0	85	0
508209.1523	5899978.3451	0.0000	LineP1	0	85	0
508209.5001	5899980.5192	0.0000	LineP1	0	85	0
508209.5001	5899980.6061	0.0000	LineP1	0	85	0
508209.5436	5899980.7801	0.0000	LineP1	0	85	0
508210.2393	5899982.2585	0.0000	LineP1	0	85	0
508210.2393	5899982.3889	0.0000	LineP1	0	85	0
508210.2828	5899982.6933	0.0000	LineP1	0	85	0
508210.6742	5899984.6500	0.0000	LineP1	0	85	0
508211.5438	5899986.4762	0.0000	LineP1	0	85	0
508211.5873	5899986.5197	0.0000	LineP1	0	85	0
508213.9353	5899987.5198	0.0000	LineP1	0	85	0
508216.6312	5899989.2591	0.0000	LineP1	0	85	0
508219.9358	5899990.7809	0.0000	LineP1	0	85	0
508221.8056	5899992.3028	0.0000	LineP1	0	85	0
508222.4578	5899993.4768	0.0000	LineP1	0	85	0
508222.1969	5899995.7814	0.0000	LineP1	0	85	0
508222.2404	5899998.2598	0.0000	LineP1	0	85	0
508222.2839	5899998.2598	0.0000	LineP1	0	85	0
508224.7623	5900000.4339	0.0000	LineP1	0	85	0
508224.8493	5900000.5209	0.0000	LineP1	0	85	0
508224.8928	5900000.7383	0.0000	LineP1	0	85	0
508225.7189	5900002.5646	0.0000	LineP1	0	85	0
508226.6321	5900004.2169	0.0000	LineP1	0	85	0
508230.4150	5900004.9996	0.0000	LineP1	0	85	0
508232.1978	5900005.9562	0.0000	LineP1	0	85	0
508232.3282	5900005.9996	0.0000	LineP1	0	85	0
508232.5021	5900006.2605	0.0000	LineP1	0	85	0
508234.5893	5900007.4780	0.0000	LineP1	0	85	0
508234.7197	5900007.4780	0.0000	LineP1	0	85	0
508235.1111	5900007.6520	0.0000	LineP1	0	85	0
508235.3720	5900007.6954	0.0000	LineP1	0	85	0
508237.1547	5900008.0868	0.0000	LineP1	0	85	0
508237.1982	5900008.0868	0.0000	LineP1	0	85	0
508238.8940	5900007.9129	0.0000	LineP1	0	85	0
508238.9810	5900007.8694	0.0000	LineP1	0	85	0
508239.8071	5900006.3040	0.0000	LineP1	0	85	0
508239.9811	5900005.3039	0.0000	LineP1	0	85	0
508239.8506	5900005.0430	0.0000	LineP1	0	85	0
508238.5027	5900003.1733	0.0000	LineP1	0	85	0
508238.4157	5900003.1733	0.0000	LineP1	0	85	0
508238.3287	5900003.1298	0.0000	LineP1	0	85	0
508238.1983	5900003.1298	0.0000	LineP1	0	85	0
508238.0244	5900003.0863	0.0000	LineP1	0	85	0
508237.0678	5900000.7818	0.0000	LineP1	0	85	0
508236.8069	5899998.1294	0.0000	LineP1	0	85	0
508237.7635	5899994.8682	0.0000	LineP1	0	85	0
508238.5462	5899992.1289	0.0000	LineP1	0	85	0
