x	y	z	Name	Colour (red)	Colour (green)	Colour (blue)
507195.6540	5898670.5923	0.0000	PolygonP8	170	0	0
507190.1123	5898673.0050	0.0000	PolygonP8	170	0	0
507190.1937	5898673.0864	0.0000	PolygonP8	170	0	0
507186.1261	5898666.0902	0.0000	PolygonP8	170	0	0
507183.6856	5898659.8262	0.0000	PolygonP8	170	0	0
507183.6042	5898659.7448	0.0000	PolygonP8	170	0	0
507181.2451	5898655.5959	0.0000	PolygonP8	170	0	0
507181.1637	5898655.4332	0.0000	PolygonP8	170	0	0
507181.0824	5898655.4332	0.0000	PolygonP8	170	0	0
507176.2013	5898651.6911	0.0000	PolygonP8	170	0	0
507170.3440	5898646.6473	0.0000	PolygonP8	170	0	0
507170.2627	5898646.5660	0.0000	PolygonP8	170	0	0
507165.7070	5898639.9765	0.0000	PolygonP8	170	0	0
507162.0462	5898634.6887	0.0000	PolygonP8	170	0	0
507162.0462	5898634.6074	0.0000	PolygonP8	170	0	0
507158.0600	5898629.8890	0.0000	PolygonP8	170	0	0
507153.3417	5898627.4485	0.0000	PolygonP8	170	0	0
507153.3417	5898627.3671	0.0000	PolygonP8	170	0	0
507153.2603	5898627.2858	0.0000	PolygonP8	170	0	0
507147.2403	5898619.4761	0.0000	PolygonP8	170	0	0
507141.9397	5898609.5962	0.0000	PolygonP8	170	0	0
507108.0291	5898561.9609	0.0000	PolygonP8	170	0	0
507108.1105	5898561.8795	0.0000	PolygonP8	170	0	0
507108.1918	5898561.8795	0.0000	PolygonP8	170	0	0
507096.7971	5898547.0960	0.0000	PolygonP8	170	0	0
507085.6576	5898529.5832	0.0000	PolygonP8	170	0	0
507076.5463	5898516.7297	0.0000	PolygonP8	170	0	0
507076.5463	5898516.6484	0.0000	PolygonP8	170	0	0
507065.8079	5898509.5708	0.0000	PolygonP8	170	0	0
507058.0796	5898499.2392	0.0000	PolygonP8	170	0	0
507072.2347	5898509.4895	0.0000	PolygonP8	170	0	0
507082.0781	5898515.5908	0.0000	PolygonP8	170	0	0
507091.6776	5898526.7359	0.0000	PolygonP8	170	0	0
507110.5510	5898545.2839	0.0000	PolygonP8	170	0	0
507110.4697	5898545.2839	0.0000	PolygonP8	170	0	0
507123.8112	5898558.8695	0.0000	PolygonP8	170	0	0
507153.0162	5898587.9119	0.0000	PolygonP8	170	0	0
507163.3478	5898606.5412	0.0000	PolygonP8	170	0	0
507163.4292	5898606.5412	0.0000	PolygonP8	170	0	0
507166.7646	5898609.5512	0.0000	PolygonP8	170	0	0
507176.6744	5898624.6967	0.0000	PolygonP8	170	0	0
507188.5680	5898641.8239	0.0000	PolygonP8	170	0	0
507193.5978	5898649.3313	0.0000	PolygonP8	170	0	0
507195.7511	5898655.8002	0.0000	PolygonP8	170	0	0
507196.7831	5898663.4056	0.0000	PolygonP8	170	0	0
507196.6204	5898668.0426	0.0000	PolygonP8	170	0	0
507195.6540	5898670.5923	0.0000	PolygonP8	170	0	0
